Timestamp,What do you think people use chatGPT for?,Which gender identity do you best identify with?,What is your age group?,How often do you use ChatGPT?,What faculty are you in?,What is your Year of Study,What is your current post-secondary role? ,When do you think using ChatGPT for an assignment draws the line between working smart and simply not working at all?,Do you think ChatGPT is more of a useful tool or a cheating engine?,"Students have been cheating well before the release of ChatGPT - for example, contract cheating. However, because ChatGPT is a free and powerful tool, cheating has become much easier. Thus, it begs the question - why do students cheat, generally speaking?","Looking at the possible reasons in the previous question, we now consider why students would have such feelings that would make them want to cheat. We consider looking at the bigger picture, the possible role our education system plays (note: we are generalizing the education system since ones such as Denmark’s is considered to be excellent by popular belief).
Perhaps AI has surpassed us in order to show us that we have to re-evaluate the format of our assigned work and standardized testing, and shift towards non-traditional methods.
Is the proficiency of ChatGPT causing the rise in cheating, or is the bigger problem at hand the education system?","How should academic institutions regulate the students' use of ChatGPT? (if you select more than one, please ensure that they are not contradictory!)","If academic institutions were to use ChatGPT, what should it be used for/as?",What University/College are you affiliated with? (optional),Any further comments regarding ChatGPT?,What is your year of study?,Email Address
2/26/2023 11:51:19,,Female,20-29,"I know of it, but I have never tested it out myself",Science,,Pursuing a Bachelor,Other,Useful tool,All of the above,The education system is the main problem,Educating students on the (current) limitations of AI as well as the consequences of plagiarism,"A research tool, A digital tutor providing personalized asynchronous learning, Marking assessments, Other",,chatgpt is further proof that students dont have confidence in their own work and that there is smth wrong w the education system esp how they test students,1st Year,
2/26/2023 12:25:21,,Female,18-19,Very rarely,Science,,Pursuing a Bachelor,This line does not exist,Useful tool,Sheer laziness due to disconnect from learning material,The education system is the main problem,Changing the grading system,"A digital tutor providing personalized asynchronous learning, Marking assessments",TMU,,1st Year,
2/26/2023 15:22:46,,Male,18-19,Very rarely,Science,,Pursuing a Bachelor,When your assignment lacks your soul (so if ChatGPT would not produce the same result as you in creative disciplines),Useful tool,Other,All 3 are part of the problem,"Educating students on the (current) limitations of AI as well as the consequences of plagiarism, Surveilling the working process for assignments, Holding in person tests as much as possible",Other,Other,I believe its a useful tool when its not used to outright do your assignments for you. Its nice to use it if it can explain concepts you do not fully understand.,1st Year,
2/26/2023 15:55:17,,Male,18-19,"I know of it, but I have never tested it out myself",Science,,Pursuing a Bachelor,"When you cut the working process in order to reach completion, but you do not actually grasp the content",Cheating engine,All of the above,Both students and the education system are part of the problem,Educating students on the (current) limitations of AI as well as the consequences of plagiarism,A research tool,Other,,1st Year,
2/26/2023 16:00:41,,Male,18-19,Few times a week,Other,,Pursuing a Bachelor,This line does not exist,Useful tool,Other,Both students and the education system are part of the problem,Educating students on the (current) limitations of AI as well as the consequences of plagiarism,"A research tool, A digital tutor providing personalized asynchronous learning",Other,Useful tool,1st Year,
2/26/2023 16:39:52,,Female,18-19,"I know of it, but I have never tested it out myself",Science,,Pursuing a Bachelor,"When you cut the working process in order to reach completion, but you do not actually grasp the content",Useful tool,Sheer laziness due to disconnect from learning material,The education system is the main problem,"Educating students on the (current) limitations of AI as well as the consequences of plagiarism, Surveilling the working process for assignments, Holding in person tests as much as possible, Changing the grading system","A research tool, A digital tutor providing personalized asynchronous learning",TMU,No comments ,1st Year,
2/26/2023 16:55:27,,Male,18-19,Very rarely,Engineering,,Pursuing a diploma,"When you cut the working process in order to reach completion, but you do not actually grasp the content",Useful tool,Sheer laziness due to disconnect from learning material,All 3 are part of the problem,Educating students on the (current) limitations of AI as well as the consequences of plagiarism,A digital tutor providing personalized asynchronous learning,Other,,1st Year,
2/26/2023 17:15:17,,Male,18-19,Very rarely,Science,,Pursuing a Bachelor,This line does not exist,Cheating engine,All of the above,Students are the main problem,Holding in person tests as much as possible,It should not be used,Other,"it comes in clutch, we hope it will have great use till the end of our education",1st Year,
2/26/2023 17:34:56,,Female,18-19,Very rarely,Science,,Pursuing a Bachelor,When your assignment lacks your soul (so if ChatGPT would not produce the same result as you in creative disciplines),Useful tool,Sheer laziness due to disconnect from learning material,Both students and the education system are part of the problem,Educating students on the (current) limitations of AI as well as the consequences of plagiarism,A digital tutor providing personalized asynchronous learning,,"ChatGPT is not only useful for assignments, but also for other issues such as “how to be more productive” and such general life questions. There is a lot of debate going on with ChatGPT and plagiarism , and on my part I would like to say ChatGPT should be of use to assist with developing ideas, NOT copying word to word ideas generated by the system.",1st Year,
2/26/2023 17:47:07,,Female,20-29,"I know of it, but I have never tested it out myself",Science,,Pursuing a Bachelor,It is difficult to say,Cheating engine,All of the above,Both students and the education system are part of the problem,"Educating students on the (current) limitations of AI as well as the consequences of plagiarism, Surveilling the working process for assignments, Holding in person tests as much as possible","A digital tutor providing personalized asynchronous learning, Marking assessments, Other",,,1st Year,
